ID,title,category,target,weapon,killedinac,injured,datetimest,MGRS,GARS,GEOREF,USNG,UTM
309,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,0,9,9/2/2014 0:00,10SFF0094950164,117LP35,DJPG0771235497,10S FF 00949 50164,10S 600948 4050164
310,IED EXPLOSION RPT,IED,Friendly,VOIED,4,0,9/2/2014 0:00,10SEF9790751211,117LP35,DJPG0568036083,10S EF 97907 51211,10S 597906 4051210
311,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,1,3,9/2/2014 0:00,10SEF9578054654,117LP34,DJPG0427937958,10S EF 95780 54654,10S 595780 4054654
312,MEDEVAC RPT,Other,Neutral,Unknown,0,9,9/2/2014 0:00,10SFF0296850857,117LP35,DJPG0907235859,10S FF 02968 50857,10S 602967 4050857
313,IED EXPLOSION RPT,IED,Friendly,Unknown,9,3,9/2/2014 0:00,10SFF0442454527,117LP36,DJPG1007837834,10S FF 04424 54527,10S 604423 4054526
314,IED EXPLOSION RPT,IED,Friendly,VOIED,9,0,9/2/2014 0:00,10SFF0309851889,117LP35,DJPG0916736417,10S FF 03098 51889,10S 603097 4051889
315,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,9,9/2/2014 0:00,10SEF9890650556,117LP35,DJPG0634535722,10S EF 98906 50556,10S 598906 4050556
316,IED EXPLOSION RPT,IED,Friendly,VOIED,9,8,9/2/2014 0:00,10SFF0329149817,117LP35,DJPG0928035295,10S FF 03291 49817,10S 603290 4049817
317,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,1,8,9/2/2014 0:00,10SFF0256149715,117LP35,DJPG0878935244,10S FF 02561 49715,10S 602560 4049715
318,IED EXPLOSION RPT,IED,Friendly,CWIED,1,9,9/3/2014 0:00,10SFF0134050893,117LP35,DJPG0798035889,10S FF 01340 50893,10S 601339 4050893
319,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,1,1,9/3/2014 0:00,10SFF0306052837,117LP35,DJPG0914936929,10S FF 03060 52837,10S 603059 4052837
320,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,4,9/3/2014 0:00,10SEF9675544755,117LP37,DJPG0485932598,10S EF 96755 44755,10S 596755 4044755
321,IED EXPLOSION RPT,IED,Friendly,VOIED,9,8,9/3/2014 0:00,10SEF9920749551,117LP35,DJPG0653935177,10S EF 99207 49551,10S 599206 4049551
322,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,5,0,9/3/2014 0:00,10SFF0179051740,117LP35,DJPG0828936344,10S FF 01790 51740,10S 601790 4051739
323,IED EXPLOSION RPT,IED,Friendly,VOIED,4,8,9/3/2014 0:00,10SEF9987149947,117LP35,DJPG0698835387,10S EF 99871 49947,10S 599871 4049947
324,IED EXPLOSION RPT,IED,Friendly,VOIED,0,0,9/3/2014 0:00,10SFF0136451346,117LP35,DJPG0800036134,10S FF 01364 51346,10S 601364 4051345
325,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,2,9/4/2014 0:00,10SFF0542753509,117LP36,DJPG1074337277,10S FF 05427 53509,10S 605427 4053508
326,IED EXPLOSION RPT,IED,Friendly,VOIED,5,5,9/4/2014 0:00,10SEF9622845551,117LP37,DJPG0451133032,10S EF 96228 45551,10S 596227 4045551
327,ESCALATION OF FORCE RPT,Other,Enemy,Unknown,2,0,9/4/2014 0:00,10SEF9801651356,117LP35,DJPG0575436161,10S EF 98016 51356,10S 598015 4051356
328,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,0,9,9/4/2014 0:00,10SEF9644050633,117LP34,DJPG0469135779,10S EF 96440 50633,10S 596439 4050633
329,IED EXPLOSION RPT,IED,Friendly,VOIED,1,0,9/4/2014 0:00,10SFF0393151528,117LP35,DJPG0972336216,10S FF 03931 51528,10S 603930 4051527
330,IED EXPLOSION RPT,IED,Friendly,VOIED,9,8,9/4/2014 0:00,10SFF0133449927,117LP35,DJPG0796935366,10S FF 01334 49927,10S 601334 4049926
331,IED EXPLOSION RPT,IED,Friendly,Unknown,9,2,9/4/2014 0:00,10SFF0492353626,117LP36,DJPG1040537344,10S FF 04923 53626,10S 604922 4053626
332,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,0,9/4/2014 0:00,10SFF0382051870,117LP35,DJPG0965136401,10S FF 03820 51870,10S 603819 4051869
333,IED EXPLOSION RPT,IED,Friendly,VOIED,8,9,9/4/2014 0:00,10SFF0201250523,117LP35,DJPG0842835685,10S FF 02012 50523,10S 602011 4050522
334,IED EXPLOSION RPT,IED,Friendly,VOIED,9,4,9/4/2014 0:00,10SEF9730744780,117LP38,DJPG0522932608,10S EF 97307 44780,10S 597306 4044779
335,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,0,9,9/4/2014 0:00,10SFF0263250516,117LP35,DJPG0884335677,10S FF 02632 50516,10S 602631 4050515
336,IED EXPLOSION RPT,IED,Friendly,VOIED,9,9,9/4/2014 0:00,10SEF9386050150,117LP34,DJPG0295835533,10S EF 93860 50150,10S 593860 4050149
337,IED EXPLOSION RPT,IED,Friendly,Unknown,0,9,9/4/2014 0:00,10SFF0131350656,117LP35,DJPG0796035761,10S FF 01313 50656,10S 601312 4050656
338,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,6,9/4/2014 0:00,10SEF9675746659,117LP37,DJPG0487433628,10S EF 96757 46659,10S 596757 4046658
339,IED EXPLOSION RPT,IED,Friendly,Unknown,0,1,9/4/2014 0:00,10SEF9601252765,117LP34,DJPG0442136935,10S EF 96012 52765,10S 596012 4052765
340,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,8,9,9/4/2014 0:00,10SFF0152650830,117LP35,DJPG0810535854,10S FF 01526 50830,10S 601526 4050830
341,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,8,9/4/2014 0:00,10SEF9844749791,117LP35,DJPG0603135312,10S EF 98447 49791,10S 598446 4049791
342,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,5,4,9/4/2014 0:00,10SEF9650445128,117LP37,DJPG0469332802,10S EF 96504 45128,10S 596503 4045128
343,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,0,9,9/4/2014 0:00,10SFF0281451079,117LP35,DJPG0897035980,10S FF 02814 51079,10S 602813 4051079
344,IED EXPLOSION RPT,IED,Friendly,VOIED,9,0,9/4/2014 0:00,10SFF0271052101,117LP35,DJPG0890936534,10S FF 02710 52101,10S 602710 4052101
345,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,1,9,9/4/2014 0:00,10SEF9650450553,117LP34,DJPG0473435735,10S EF 96504 50553,10S 596503 4050552
346,PROPAGANDA,Propaganda,Friendly,RPG,3,9,9/5/2014 0:00,10SFF0376850194,117LP35,DJPG0960335495,10S FF 03768 50194,10S 603768 4050193
347,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,2,2,9/5/2014 0:00,10SEF9565253308,117LP34,DJPG0418337230,10S EF 95652 53308,10S 595652 4053308
348,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,9,9/5/2014 0:00,10SFF0003150675,117LP35,DJPG0710035780,10S FF 00031 50675,10S 600030 4050675
349,IED EXPLOSION RPT,IED,Friendly,Unknown,0,1,9/5/2014 0:00,10SFF0280552941,117LP35,DJPG0897936987,10S FF 02805 52941,10S 602804 4052940
350,IED EXPLOSION RPT,IED,Friendly,VOIED,9,1,9/5/2014 0:00,10SFF0523352352,117LP36,DJPG1060336653,10S FF 05233 52352,10S 605232 4052352
351,ARREST RPT,Arrest,Enemy,Unknown,2,9,9/5/2014 0:00,10SFF0037650271,117LP35,DJPG0732835559,10S FF 00376 50271,10S 600375 4050270
352,MINE STRIKE RPT,Mine,Friendly,Mine,1,0,9/5/2014 0:00,10SFF0221751268,117LP35,DJPG0857136086,10S FF 02217 51268,10S 602217 4051267
353,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,1,9,9/5/2014 0:00,10SEF9917350693,117LP35,DJPG0652535794,10S EF 99173 50693,10S 599173 4050692
354,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,0,5,9/5/2014 0:00,10SEF9748745805,117LP38,DJPG0535733161,10S EF 97487 45805,10S 597487 4045804
355,ATTACK RPT,Attack,Friendly,Small Arms,0,9,9/5/2014 0:00,10SFF0133950044,117LP35,DJPG0797335430,10S FF 01339 50044,10S 601339 4050044
356,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,1,9/5/2014 0:00,10SEF9716052739,117LP35,DJPG0519136914,10S EF 97160 52739,10S 597160 4052739
357,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,9,9/5/2014 0:00,10SFF0182550945,117LP35,DJPG0830635914,10S FF 01825 50945,10S 601825 4050945
358,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,9,9/5/2014 0:00,10SEF9769750653,117LP35,DJPG0553535782,10S EF 97697 50653,10S 597697 4050653
359,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,1,0,9/5/2014 0:00,10SFF0097751173,117LP35,DJPG0773936043,10S FF 00977 51173,10S 600976 4051173
360,(COUNTER-INSURGENCY) DEFECTING RPT,Other,Friendly,Unknown,1,1,9/24/2014 0:00,10SEF9669753045,117LP34,DJPG0488237082,10S EF 96697 53045,10S 596696 4053045
361,IED EXPLOSION RPT,IED,Neutral,CWIED,1,0,9/24/2014 0:00,10SEF9824251418,117LP35,DJPG0590636192,10S EF 98242 51418,10S 598241 4051417
362,ESCALATION OF FORCE RPT,Other,Enemy,Unknown,1,1,9/24/2014 0:00,10SFF0375152779,117LP35,DJPG0961236894,10S FF 03751 52779,10S 603751 4052779
363,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,8,9/24/2014 0:00,10SFF0068149683,117LP35,DJPG0752935239,10S FF 00681 49683,10S 600681 4049682
364,ATTACK RPT,Attack,Neutral,Small Arms,1,9,9/24/2014 0:00,10SEF9880450881,117LP35,DJPG0627935899,10S EF 98804 50881,10S 598804 4050881
365,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,5,8,9/24/2014 0:00,10SFF0455049768,117LP36,DJPG1012435260,10S FF 04550 49768,10S 604549 4049768
366,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,1,9,9/24/2014 0:00,10SFF0103050470,117LP35,DJPG0776935662,10S FF 01030 50470,10S 601029 4050470
367,INTERDICTION RPT,IED,Friendly,VBIED,0,5,9/24/2014 0:00,10SEF9645146364,117LP37,DJPG0466733470,10S EF 96451 46364,10S 596451 4046363
368,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,8,9/24/2014 0:00,10SFF0190949275,117LP35,DJPG0834935011,10S FF 01909 49275,10S 601908 4049275
369,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,1,9/24/2014 0:00,10SFF0496953284,117LP36,DJPG1043437159,10S FF 04969 53284,10S 604968 4053284
370,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,0,1,9/24/2014 0:00,10SFF0263052506,117LP35,DJPG0885836753,10S FF 02630 52506,10S 602629 4052506
371,ASSASSINATION,Assassination,Neutral,Small Arms,0,9,9/24/2014 0:00,10SFF0312750179,117LP35,DJPG0917335492,10S FF 03127 50179,10S 603127 4050179
372,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,8,9/24/2014 0:00,10SFF0444849742,117LP36,DJPG1005535247,10S FF 04448 49742,10S 604447 4049742
373,ESCALATION OF FORCE RPT,Other,Neutral,Small Arms,0,1,9/24/2014 0:00,10SEF9744752844,117LP35,DJPG0538436969,10S EF 97447 52844,10S 597447 4052843
374,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,2,9/24/2014 0:00,10SFF0498553372,117LP36,DJPG1044537206,10S FF 04985 53372,10S 604984 4053371
375,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,1,5,9/24/2014 0:00,10SEF9688946490,117LP37,DJPG0496133535,10S EF 96889 46490,10S 596888 4046489
376,MINE STRIKE RPT,Mine,Neutral,Mine,9,0,9/25/2014 0:00,10SFF0287951840,117LP35,DJPG0902036392,10S FF 02879 51840,10S 602878 4051840
377,DETAIN RPT,Detain,Enemy,Unknown,1,5,9/25/2014 0:00,10SEF9719446105,117LP38,DJPG0516333326,10S EF 97194 46105,10S 597193 4046104
378,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,1,9/25/2014 0:00,10SEF9804152434,117LP35,DJPG0577936743,10S EF 98041 52434,10S 598040 4052434
379,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,9,1,9/25/2014 0:00,10SFF0504953041,117LP36,DJPG1048537026,10S FF 05049 53041,10S 605049 4053040
380,IED EXPLOSION RPT,IED,Friendly,VOIED,9,1,9/25/2014 0:00,10SFF0418352689,117LP35,DJPG0990136842,10S FF 04183 52689,10S 604182 4052688
381,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,1,5,9/25/2014 0:00,10SEF9674846022,117LP37,DJPG0486433283,10S EF 96748 46022,10S 596748 4046021
382,IED EXPLOSION RPT,IED,Friendly,VOIED,6,9,9/25/2014 0:00,10SFF0441950708,117LP36,DJPG1004435769,10S FF 04419 50708,10S 604419 4050707
383,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,1,9/25/2014 0:00,10SFF0472153145,117LP36,DJPG1026637085,10S FF 04721 53145,10S 604721 4053145
384,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,8,0,9/25/2014 0:00,10SFF0196251273,117LP35,DJPG0840036090,10S FF 01962 51273,10S 601961 4051272
385,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,8,3,9/25/2014 0:00,10SFF0562455172,117LP36,DJPG1088938175,10S FF 05624 55172,10S 605623 4055171
386,ATTACK RPT,Attack,Friendly,Small Arms,8,1,9/25/2014 0:00,10SFF0425552535,117LP35,DJPG0994836758,10S FF 04255 52535,10S 604254 4052534
387,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,2,9/25/2014 0:00,10SFF0473353531,117LP36,DJPG1027837294,10S FF 04733 53531,10S 604733 4053530
388,ATTACK RPT,Attack,Enemy,Small Arms,9,9,9/25/2014 0:00,10SFF0233550261,117LP35,DJPG0864335541,10S FF 02335 50261,10S 602335 4050260
389,DISTURBANCE,Disturbance,Friendly,Small Arms,1,5,9/25/2014 0:00,10SEF9717846432,117LP38,DJPG0515533503,10S EF 97178 46432,10S 597178 4046432
390,IED EXPLOSION RPT,IED,Friendly,VOIED,8,1,9/25/2014 0:00,10SEF9565853128,117LP34,DJPG0418637133,10S EF 95658 53128,10S 595657 4053127
391,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,9,9/25/2014 0:00,10SEF9774450216,117LP35,DJPG0556335545,10S EF 97744 50216,10S 597743 4050215
392,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,8,1,9/25/2014 0:00,10SEF9648753084,117LP34,DJPG0474237104,10S EF 96487 53084,10S 596487 4053084
393,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,2,9/25/2014 0:00,10SEF9651253486,117LP34,DJPG0476137321,10S EF 96512 53486,10S 596511 4053485
394,IED EXPLOSION RPT,IED,Friendly,RCIED,9,0,9/25/2014 0:00,10SFF0291651902,117LP35,DJPG0904536424,10S FF 02916 51902,10S 602915 4051901
395,IED EXPLOSION,IED,Friendly,Unknown,9,0,9/25/2014 0:00,10SEF9828751402,117LP35,DJPG0593636184,10S EF 98287 51402,10S 598287 4051402
396,IED EXPLOSION RPT,IED,Friendly,CWIED,2,0,9/26/2014 0:00,10SEF9353751148,117LP34,DJPG0274836075,10S EF 93537 51148,10S 593536 4051148
397,SURVEILLANCE RPT,Surveillance,Friendly,Unknown,0,9,9/26/2014 0:00,10SFF0267350478,117LP35,DJPG0887135656,10S FF 02673 50478,10S 602673 4050478
398,IED EXPLOSION RPT,IED,Friendly,VOIED,0,9,9/26/2014 0:00,10SFF0167051040,117LP35,DJPG0820335966,10S FF 01670 51040,10S 601669 4051039
399,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,9,8,9/26/2014 0:00,10SEF9902949912,117LP35,DJPG0642235373,10S EF 99029 49912,10S 599028 4049911
400,IED EXPLOSION RPT,IED,Friendly,VOIED,5,0,9/26/2014 0:00,10SEF9687851696,117LP34,DJPG0499436351,10S EF 96878 51696,10S 596878 4051696
401,MINE FOUND/CLEARED RPT,Mine,Friendly,Mine,8,0,9/26/2014 0:00,10SFF0442751783,117LP36,DJPG1005836351,10S FF 04427 51783,10S 604427 4051783
402,IED EXPLOSION RPT,IED,Friendly,VOIED,5,8,9/26/2014 0:00,10SEF9844749791,117LP35,DJPG0603135312,10S EF 98447 49791,10S 598446 4049791
403,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,9,9/26/2014 0:00,10SFF0134550136,117LP35,DJPG0797835480,10S FF 01345 50136,10S 601345 4050135
404,IED EXPLOSION RPT,IED,Friendly,Unknown,2,0,9/26/2014 0:00,10SFF0342951662,117LP35,DJPG0938736292,10S FF 03429 51662,10S 603428 4051662
405,IED EXPLOSION RPT,IED,Friendly,VOIED,9,9,9/26/2014 0:00,10SFF0350050680,117LP35,DJPG0942735760,10S FF 03500 50680,10S 603500 4050679
406,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,6,0,9/26/2014 0:00,10SEF9495551709,117LP34,DJPG0370436370,10S EF 94955 51709,10S 594955 4051709
407,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,9,8,9/26/2014 0:00,10SFF0329149817,117LP35,DJPG0928035295,10S FF 03291 49817,10S 603290 4049817
408,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,5,9,9/27/2014 0:00,10SFF0365150447,117LP35,DJPG0952735633,10S FF 03651 50447,10S 603651 4050446
409,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,8,0,9/27/2014 0:00,10SEF9635951345,117LP34,DJPG0464336164,10S EF 96359 51345,10S 596359 4051344
410,ARREST RPT,Arrest,Enemy,Unknown,3,4,9/27/2014 0:00,10SEF9608945402,117LP37,DJPG0441732952,10S EF 96089 45402,10S 596089 4045401
411,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,1,0,9/27/2014 0:00,10SEF9864751252,117LP35,DJPG0617736100,10S EF 98647 51252,10S 598647 4051251
412,IED EXPLOSION RPT,IED,Friendly,VOIED,0,9,9/27/2014 0:00,10SEF9830550722,117LP35,DJPG0594335816,10S EF 98305 50722,10S 598305 4050722
413,IED EXPLOSION RPT,IED,Friendly,VOIED,8,9,9/27/2014 0:00,10SFF0285750881,117LP35,DJPG0899835873,10S FF 02857 50881,10S 602857 4050880
414,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,0,8,9/27/2014 0:00,10SEF9961649581,117LP35,DJPG0681435191,10S EF 99616 49581,10S 599616 4049581
415,IED EXPLOSION RPT,IED,Friendly,RCIED,1,1,9/27/2014 0:00,10SEF9653252372,117LP34,DJPG0476736719,10S EF 96532 52372,10S 596532 4052371
416,IED EXPLOSION RPT,IED,Friendly,VOIED,1,2,9/27/2014 0:00,10SEF9677053419,117LP34,DJPG0493437283,10S EF 96770 53419,10S 596769 4053418
417,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,5,9/27/2014 0:00,10SEF9592445806,117LP37,DJPG0430933171,10S EF 95924 45806,10S 595923 4045805
418,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,9,9/27/2014 0:00,10SEF9629950715,117LP34,DJPG0459835824,10S EF 96299 50715,10S 596298 4050715
419,IED EXPLOSION RPT,IED,Friendly,VOIED,8,0,9/27/2014 0:00,10SFF0397451680,117LP35,DJPG0975336298,10S FF 03974 51680,10S 603974 4051679
420,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,8,9,9/27/2014 0:00,10SEF9403650522,117LP34,DJPG0307935734,10S EF 94036 50522,10S 594036 4050522
421,ATTACK RPT,Attack,Friendly,Small Arms,5,9,9/27/2014 0:00,10SFF0023150234,117LP35,DJPG0723135540,10S FF 00231 50234,10S 600230 4050233
422,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,9,9/27/2014 0:00,10SFF0158750582,117LP35,DJPG0814335719,10S FF 01587 50582,10S 601587 4050581
423,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,2,9/27/2014 0:00,10SEF9677053417,117LP34,DJPG0493437283,10S EF 96770 53417,10S 596769 4053417
424,IED EXPLOSION RPT,IED,Friendly,VOIED,8,4,9/27/2014 0:00,10SEF9609845424,117LP37,DJPG0442332964,10S EF 96098 45424,10S 596097 4045423
425,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,9,9/27/2014 0:00,10SEF9928750311,117LP35,DJPG0659935587,10S EF 99287 50311,10S 599286 4050310
426,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,3,0,9/27/2014 0:00,10SEF9639151875,117LP34,DJPG0466836451,10S EF 96391 51875,10S 596390 4051875
427,DETAIN RPT,Detain,Enemy,Unknown,1,0,9/27/2014 0:00,10SEF9754751599,117LP35,DJPG0544236295,10S EF 97547 51599,10S 597547 4051599
428,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,4,0,9/27/2014 0:00,10SEF9644952030,117LP34,DJPG0470836534,10S EF 96449 52030,10S 596448 4052029
429,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,8,9/27/2014 0:00,10SFF0163349360,117LP35,DJPG0816535058,10S FF 01633 49360,10S 601633 4049360
430,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,9,9/27/2014 0:00,10SFF0037850600,117LP35,DJPG0733235737,10S FF 00378 50600,10S 600377 4050599
431,IED EXPLOSION RPT,IED,Friendly,VOIED,9,5,9/27/2014 0:00,10SEF9700845876,117LP38,DJPG0503733203,10S EF 97008 45876,10S 597008 4045876
432,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,5,1,9/28/2014 0:00,10SEF9623852770,117LP34,DJPG0457236936,10S EF 96238 52770,10S 596237 4052769
433,SAFIRE RPT,Small Arms Fire,Friendly,Small Arms,4,4,9/28/2014 0:00,10SEF9676845034,117LP37,DJPG0486932749,10S EF 96768 45034,10S 596767 4045034
434,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,1,9/28/2014 0:00,10SEF9560753005,117LP34,DJPG0415037067,10S EF 95607 53005,10S 595606 4053004
435,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,0,9/28/2014 0:00,10SEF9921451229,117LP35,DJPG0655736084,10S EF 99214 51229,10S 599213 4051228
436,IED EXPLOSION RPT,IED,Friendly,VOIED,2,9,9/28/2014 0:00,10SEF9943750894,117LP35,DJPG0670435902,10S EF 99437 50894,10S 599437 4050894
437,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,4,9/28/2014 0:00,10SEF9658145018,117LP37,DJPG0474432742,10S EF 96581 45018,10S 596581 4045018
438,MINE FOUND/CLEARED RPT,Mine,Friendly,Mine,9,9,9/28/2014 0:00,10SEF9814950680,117LP35,DJPG0583835794,10S EF 98149 50680,10S 598149 4050680
439,IED EXPLOSION RPT,IED,Friendly,CWIED,9,1,9/28/2014 0:00,10SEF9663953135,117LP34,DJPG0484437131,10S EF 96639 53135,10S 596638 4053135
440,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,9,1,9/28/2014 0:00,10SFF0311852280,117LP35,DJPG0918436628,10S FF 03118 52280,10S 603118 4052280
441,DETAIN RPT,Detain,Enemy,Unknown,2,6,9/28/2014 0:00,10SEF9690646813,117LP37,DJPG0497533710,10S EF 96906 46813,10S 596905 4046813
442,IED EXPLOSION RPT,IED,Friendly,VOIED,9,1,9/28/2014 0:00,10SEF9694552941,117LP35,DJPG0504837024,10S EF 96945 52941,10S 596944 4052940
443,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,8,9,9/28/2014 0:00,10SEF9423250638,117LP34,DJPG0321135795,10S EF 94232 50638,10S 594231 4050637
444,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,0,1,9/28/2014 0:00,10SEF9766452523,117LP35,DJPG0552736794,10S EF 97664 52523,10S 597664 4052523
445,ATTACK RPT,Attack,Neutral,Small Arms,8,1,9/28/2014 0:00,10SEF9566353124,117LP34,DJPG0418937131,10S EF 95663 53124,10S 595663 4053124
446,IED EXPLOSION RPT,IED,Friendly,VOIED,2,9,9/28/2014 0:00,10SEF9779550337,117LP35,DJPG0559835610,10S EF 97795 50337,10S 597794 4050336
447,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,9,9/28/2014 0:00,10SEF9951650976,117LP35,DJPG0675735945,10S EF 99516 50976,10S 599515 4050975
448,MINE STRIKE RPT,Mine,Neutral,Mine,0,1,9/28/2014 0:00,10SEF9652852370,117LP34,DJPG0476436718,10S EF 96528 52370,10S 596527 4052369
449,ATTACK RPT,Attack,Neutral,Small Arms,8,4,9/28/2014 0:00,10SEF9651645461,117LP37,DJPG0470432981,10S EF 96516 45461,10S 596515 4045460
450,ATTACK RPT,Attack,Friendly,Small Arms,0,2,9/28/2014 0:00,10SEF9589353859,117LP34,DJPG0434937527,10S EF 95893 53859,10S 595893 4053859
451,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,5,9/28/2014 0:00,10SEF9739646555,117LP38,DJPG0530233568,10S EF 97396 46555,10S 597395 4046555
452,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,2,9,9/28/2014 0:00,10SEF9349750829,117LP34,DJPG0271935903,10S EF 93497 50829,10S 593496 4050829
453,IED EXPLOSION RPT,IED,Friendly,CWIED,8,9,9/28/2014 0:00,10SFF0354750915,117LP35,DJPG0946135887,10S FF 03547 50915,10S 603547 4050914
454,ATTACK RPT,Attack,Neutral,Small Arms,8,9,9/28/2014 0:00,10SEF9944250923,117LP35,DJPG0670835918,10S EF 99442 50923,10S 599442 4050923
455,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,2,9,9/28/2014 0:00,10SFF0220350510,117LP35,DJPG0855635677,10S FF 02203 50510,10S 602203 4050510
456,IED EXPLOSION RPT,IED,Friendly,Unknown,8,9,9/28/2014 0:00,10SEF9386050150,117LP34,DJPG0295835533,10S EF 93860 50150,10S 593860 4050149
457,PROPAGANDA,Propaganda,Friendly,RPG,9,0,9/28/2014 0:00,10SFF0152051109,117LP35,DJPG0810336005,10S FF 01520 51109,10S 601520 4051109
458,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,0,9/28/2014 0:00,10SFF0462952182,117LP36,DJPG1019736565,10S FF 04629 52182,10S 604629 4052181
459,DIRECT FIRE RPT,Direct Fire,Friendly,Mortar,5,4,9/28/2014 0:00,10SEF9609845424,117LP37,DJPG0442332964,10S EF 96098 45424,10S 596097 4045423
460,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,2,9/29/2014 0:00,10SEF9549353282,117LP34,DJPG0407637217,10S EF 95493 53282,10S 595493 4053282
461,MEDEVAC RPT,Other,Neutral,Unknown,8,1,9/29/2014 0:00,10SFF0374152941,117LP35,DJPG0960736981,10S FF 03741 52941,10S 603740 4052940
462,IED EXPLOSION RPT,IED,Friendly,VOIED,3,1,9/29/2014 0:00,10SFF0237552449,117LP35,DJPG0868736724,10S FF 02375 52449,10S 602375 4052449
