AttackMode,Target,TargetSect,TGTType,TargetSubt,TargetNati,Inside,SuicideAtt,CounterAtt,AttackScal,NoAttacks,DMGScale,DMGDetail,EventTitle,TargetGrou,TargetType,TargetReqi,TargetCoun,NonTargetF,TargetFata,TotalFatal,NonTargetW,TargetWoun,TotalWound,Hostages,Injuries,Notes,Source,Descriptio,EvID,Location,Event_DESC
Explosive Device,US Military Checkpoint,Military,People,Group,United States,N,N,Investigation,Micro,1,No known physical damage,None,US Military Checkpoint target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,5,0,5,0,Major and minor injuries,,US Military,Explosive device detonated. 3 people were killed in the attack. 5 people suffered minor injuries.,152,41SNS1617620701,House Borne IED (HBIED) Explosion
Explosive Device,Bus Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,N,Investigation,Macro,1,Destruction of a building,Blast destroyed Bus Station,Bus Station target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,9,0,9,2,0,2,0,Major injuries,,Afghanistan Government,Explosive device detonated. 9 people were killed in the attack. The attackers seriously injured 2 people.,153,41RNQ5598681296,Explosion (Reported)
Explosive Device,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Investigation,Micro,1,Destruction of a vehicle,Vehicle destroyed in attack,Afghan Security Post target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,2,0,2,5,0,5,0,Major and minor injuries,,Afghanistan Government,Explosive device detonated. 2 people were killed in the attack. 5 people suffered minor injuries.,154,42RTV2502966287,House Borne IED (HBIED) Explosion
Standoff Weapon,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Micro,3,No known physical damage,None,RPG fired at US Military Checkpoint,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,5,0,5,0,Minor injuries,,US Military,One person was killed in the attack. 5 people suffered minor injuries.,155,41SNV5595263005,IDF/RPG
Standoff Weapon,US Soldiers,Military,People,Group,United States,N,N,Attack,Micro,0,No known physical damage,None,RPG fired at US Soldiers,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,6,0,6,0,Minor injuries,,US Military,6 people suffered minor injuries.,156,41SLU7326143080,IDF/RPG
Other,Civilians,Civilian,People,Random Selection,Afghanistan,N,Y,Other,Micro,1,No known physical damage,None,Suicide bomber strikes,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,1,6,1,0,1,0,Major injury,Suicide bomber killed in attack;,Afghanistan Government,A suicide bomber detonated an IED at a public gathering. 6 people were killed in the attack. One individual suffered minor injuries.,157,41RQP2791666783,Person Born IED (PBIED)
Ambush,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Attack,Micro,2,Destruction of a vehicle,Vehicle destroyed in attack,Al-Qaeda attacks Afghan Security Post,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,0,4,5,1,6,0,Major and minor injuries,Target wounded in counterattack;,Afghanistan Government,Afghan Security Post came under attack. 4 people were killed in the attack. 6 people suffered minor injuries.,158,42SVC0345607540,Attack
Ambush,Afghan Soldiers,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Afghan Soldiers entered booby trapped building,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,2,0,2,3,0,3,0,Major injuries,,Afghanistan Government,Afghan Soldiers entered booby trapped building. 2 people were killed in the attack. The attackers seriously injured 3 people.,159,41SQS5774445236,Booby Trapped Building
Explosive Device,Market,Civilian,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Damage to a building,Blast caused partial structural damage to Market,Market target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,0,4,5,0,5,0,Minor injuries,,Afghanistan Government,Explosive device detonated. 4 people were killed in the attack. 5 people suffered minor injuries.,160,42STD8450284650,Explosion
Explosive Device,House,Residential,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Blast destroyed House,House target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,3,0,3,0,0,0,0,None,,Afghanistan Government,Explosive device detonated. 3 people were killed in the attack.,161,41SPS4362845047,Explosion (Reported)
Other,Civilians,Civilian,People,Random Selection,Afghanistan,N,Y,Other,Micro,1,No known physical damage,None,Suicide bomber strikes,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,1,5,2,0,2,0,Major injuries,Suicide bomber killed in attack;,Afghanistan Government,A suicide bomber detonated an IED at a public gathering. 5 people were killed in the attack. The attackers seriously injured 2 people.,162,42SVE9433443952,Person Born IED (PBIED)
Explosive Device,US Military Checkpoint,Military,People,Random Selection,United States,N,N,Other,Micro,1,No known physical damage,None,US Military Checkpoint target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,0,5,2,0,2,0,Minor injuries,,US Military,Explosive device detonated. 5 people were killed in the attack. 2 people suffered minor injuries.,163,41SNV7667769492,Mine
Standoff Weapon,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Attack,Macro,1,Damage to a vehicle,Vehicle engine damaged in blast,Rocket fired at Afghan Security Post,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,8,0,8,0,Major and minor injuries,,Afghanistan Government,A rocket was fired at Afghan Security Post. 3 people were killed in the attack. 8 people suffered minor injuries.,164,41RMP2383185923,Rocket
Standoff Weapon,Afghan Police,Military,People,Group,Afghanistan,N,N,Attack,Micro,2,No known physical damage,None,Rocket fired at Afghan Police,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,2,0,2,0,Major and minor injuries,,Afghanistan Government,A rocket was fired at Afghan Police. 2 people suffered minor injuries.,165,41RPR0705529399,Rocket
Explosive Device,US Soldiers,Military,People,Group,United States,N,N,Investigation,Micro,1,No known physical damage,None,Fake IED discovered,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,A hoax IED was discovered and removed from the premises.,166,41SQV6713403979,Hoax IED
Explosive Device,US Soldiers,Military,People,Random Selection,United States,N,N,Investigation,Micro,1,No known physical damage,None,US Soldiers target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,4,0,4,0,Major and minor injuries,,US Military,Explosive device detonated. 4 people suffered minor injuries.,167,41SNR7265050520,IED
Ambush,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Micro,0,No known physical damage,None,Al-Qaeda attacks US Military Checkpoint,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,3,0,3,0,Minor injuries,,US Military,US Military Checkpoint came under attack. 3 people were killed in the attack. 3 people suffered minor injuries.,168,41SLT4592333015,Attack
Multimode Attack,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Micro,0,No known physical damage,None,US Military Checkpoint fired on byAl-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,1,2,3,1,4,0,Minor injuries,Target killed in counterattack; Target wounded in counterattack;,US Military,US Military Checkpoint came under attack. 2 people were killed in the attack. 4 people suffered minor injuries.,169,42SUB4575009531,IDF/Small Arms Fire (SAF)
Ambush,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,3,No known physical damage,None,Afghan Soldiersambushed by Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,2,0,2,5,1,6,2,Major injuries,Hostages taken; Target wounded in counterattack;,Afghanistan Government,Suspected members of Taliban ambushed Afghan Soldiers. 2 people were killed in the attack. The attackers seriously injured 6 people.,170,42SXE2527596724,Ambush
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Drive by shooting,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,0,4,4,0,4,0,Major and minor injuries,,Afghanistan Government,Drive by shooting occured. 4 people were killed in the attack. 4 people suffered minor injuries.,171,41RMQ4940838299,Drive by Shooting
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Drive by shooting,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,2,0,2,4,0,4,0,Major injuries,,Afghanistan Government,Drive by shooting occured. 2 people were killed in the attack. The attackers seriously injured 4 people.,172,41SNV6670674687,Drive by Shooting
Explosive Device,Market,Civilian,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Blast destroyed Market,Market target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,3,0,3,2,0,2,0,Minor injuries,,Afghanistan Government,Explosive device detonated. 3 people were killed in the attack. 2 people suffered minor injuries.,173,41SLT6361354851,Explosion (Reported)
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Suspected members of Taliban attempt to kidnapAfghan government official,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,1,1,0,None,Target wounded in counterattack;,Afghanistan Government,Suspected members of Taliban attempted a kidnapping of Afghan government official. One individual suffered minor injuries.,174,42SVB0952093354,Attempted Kidnapping
Standoff Weapon,US Military convoy,Military,People,Group,United States,N,N,Other,Micro,3,Destruction of a vehicle,Blast destroyed vehicle beyond repair,Mortar fired at US Military convoy,Taliban,Militant Islamist,South Asia,Afghanistan,4,0,4,5,0,5,0,Minor injuries,,US Military,Mortar was fired at US Military convoy. 4 people were killed in the attack. 5 people suffered minor injuries.,175,41SPS4966437370,Mortar
Explosive Device,Afghan Police,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,An explosive device was discovered and disarmed.,176,41RNQ4658858261,IED Pre-detonation
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Drive by shooting,Taliban,Militant Islamist,South Asia,Afghanistan,4,0,4,0,0,0,0,None,,Afghanistan Government,Drive by shooting occured. 4 people were killed in the attack.,177,41SPU8776746076,Drive by Shooting
Explosive Device,US Military convoy,Military,People,Group,United States,N,N,Other,Micro,3,Destruction of a vehicle,Blast destroyed vehicle beyond repair,Grenades thrown at US Military convoy,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,2,0,2,0,Major and minor injuries,,US Military,Grenades thrown at US Military convoy. 2 people suffered minor injuries.,178,42SWB0679436574,Grenade
Explosive Device,US Military Checkpoint,Military,People,Random Selection,United States,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,179,41SLT4599948581,IED Found/Cleared
Other,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Attack,Micro,3,No known physical damage,None,Afghan Security Post attacked by snipers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Snipers fired at Afghan Security Post. One person was killed in the attack. One individual suffered minor injuries.,180,42SXD3158110688,Sniper Ops
Standoff Weapon,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,2,No known physical damage,None,Rocket fired at Afghan Soldiers,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,4,0,4,0,Major injuries,,Afghanistan Government,A rocket was fired at Afghan Soldiers. One person was killed in the attack. The attackers seriously injured 4 people.,181,42SVC4261722205,Rocket
Other,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,3,No known physical damage,None,Afghan Soldiers attacked by snipers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Snipers fired at Afghan Soldiers. One person was killed in the attack. One individual suffered minor injuries.,182,42SUC6881251229,Sniper Ops
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Suspected members of Al-Qaeda attempt to kidnapAfghan government official,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Suspected members of Al-Qaeda attempted a kidnapping of Afghan government official. One person was killed in the attack. One individual suffered minor injuries.,183,42SUB1540986648,Attempted Kidnapping
Assasination,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Afghan government official assasinated,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Major injury,,Afghanistan Government,Afghan government official was assassinated by suspected member of Al-Qaeda. One person was killed in the attack. One individual suffered minor injuries.,184,41SMU3750001869,Assasination
Other,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Micro,1,No known physical damage,None,Indirect fire attack,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,5,2,7,0,Minor injuries,Target wounded in counterattack;,US Military,Indirect fire attack. 3 people were killed in the attack. 7 people suffered minor injuries.,185,42SUC7882590490,Indirect Fire (IDF)
Ambush,US Soldiers,Military,People,Group,United States,N,N,Attack,Micro,0,No known physical damage,None,Taliban attacks US Soldiers,Taliban,Militant Islamist,South Asia,Afghanistan,4,0,4,0,5,5,0,None,Target wounded in counterattack;,US Military,US Soldiers came under attack. 4 people were killed in the attack. 5 people suffered minor injuries.,186,42STA2737973167,Attack
Standoff Weapon,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Micro,1,No known physical damage,None,RPG fired at US Military Checkpoint,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,4,0,4,0,Major and minor injuries,,US Military,4 people suffered minor injuries.,187,41SNV5414562994,IDF/RPG
Multimode Attack,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Attack,Micro,1,Damage to a vehicle,Vehicle wheel damaged in blast,Grenades thrown at Afghan Security Post,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,3,0,3,0,Major and minor injuries,,Afghanistan Government,Grenades thrown at Afghan Security Post. 3 people suffered minor injuries.,188,41SQU2573810332,IDF/Grenade
Explosive Device,US Soldiers,Military,People,Random Selection,United States,N,Y,Investigation,Micro,1,No known physical damage,None,US Soldiers target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,2,0,2,2,0,2,0,Minor injuries,,US Military,Explosive device detonated. 2 people were killed in the attack. 2 people suffered minor injuries.,189,42STD7398367329,IED
Explosive Device,US Soldiers,Military,People,Group,United States,N,Y,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,190,41SNT6185974766,House Borne IED (HBIED) Found/Cleared
Ambush,Civilian,<Null>,<Null>,<Null>,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Civilian murdered,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Civilian murdered by suspected member of Taliban. One person was killed in the attack. One individual suffered minor injuries.,191,42SVB2468749096,Murder
Other,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,0,No known physical damage,None,Afghan Soldiers attacked by snipers,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Major injury,,Afghanistan Government,Snipers fired at Afghan Soldiers. One person was killed in the attack. One individual suffered minor injuries.,192,41SPV0311278288,Sniper Ops
Ambush,US Military convoy,Military,People,Group,United States,N,N,Attack,Micro,1,Destruction of a vehicle,Vehicle destroyed in attack,Combat between US Military convoy and members of Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,4,4,0,None,Target wounded in counterattack;,US Military,US Military convoy engaged in combat. 4 people suffered minor injuries.,193,41SNV5084308089,Combat
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Afghan government official kidnapped by Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,1,0,1,1,Minor injury,Hostages taken;,Afghanistan Government,Afghan government official was kidnapped by members of Taliban. One individual suffered minor injuries.,194,42SXF2104807478,Kidnapping
Ambush,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Attack,Micro,0,Destruction of a vehicle,Vehicle destroyed in attack,Combat between Afghan Security Post and members of Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,1,1,2,3,0,3,0,Major injuries,Target killed in counterattack;,Afghanistan Government,Afghan Security Post engaged in combat. 2 people were killed in the attack. The attackers seriously injured 3 people.,195,42STD7919453733,Combat
Standoff Weapon,US Soldiers,Military,People,Group,United States,N,N,Attack,Micro,2,No known physical damage,None,RPG fired at US Soldiers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,6,0,6,0,Major injuries,,US Military,3 people were killed in the attack. The attackers seriously injured 6 people.,196,42STD3281570143,IDF/RPG
Other,Afghan Soldiers,Military,People,<Null>,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,,197,42SVC2515965608,Accident
Explosive Device,US Military Checkpoint,Military,People,Random Selection,United States,N,N,Other,Micro,1,No known physical damage,None,US Military Checkpoint target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,0,0,0,0,None,,US Military,Explosive device detonated. 3 people were killed in the attack.,198,42STD8064065496,Mine
Standoff Weapon,Afghan Police,Military,People,Group,Afghanistan,N,N,Other,Micro,0,No known physical damage,None,Mortar fired at Afghan Police,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,8,0,8,0,Major injuries,,Afghanistan Government,Mortar was fired at Afghan Police. One person was killed in the attack. The attackers seriously injured 8 people.,199,41SPT0727893503,Mortar
Ambush,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Micro,0,No known physical damage,None,Combat between US Military Checkpoint and members of Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,0,1,1,4,2,6,0,Major injuries,Target killed in counterattack; Target wounded in counterattack;,US Military,US Military Checkpoint engaged in combat. One person was killed in the attack. The attackers seriously injured 6 people.,200,41SNV6579675735,Combat
Assasination,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Afghan government official assasinated,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Afghan government official was assassinated by suspected member of Taliban. One person was killed in the attack. One individual suffered minor injuries.,201,42SUC7102883525,Assasination
Explosive Device,House,Residential,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Damage to a building,Blast caused partial structural damage to House,House target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,10,0,10,0,Minor injuries,,Afghanistan Government,Explosive device detonated. 10 people suffered minor injuries.,202,42SVF6061331259,Explosion (Reported)
Explosive Device,Afghan Security Post,Military,People,Random Selection,Afghanistan,N,N,Other,Micro,1,No known physical damage,None,Unexploded ordnance discovered,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Unexploded ordnance located.,203,42SVE2434394044,Unexploded Ordnance (UXO)
Ambush,Bus Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Bus Station destroyed in attack,Arsonist sets fire to Bus Station,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,3,0,3,0,Major injuries,,Afghanistan Government,An arsonist set fire to Bus Station. 3 people were killed in the attack. The attackers seriously injured 3 people.,204,41RMR6694429956,Arson
Explosive Device,House,Residential,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Blast destroyed House,House target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,6,0,6,0,Major injuries,,Afghanistan Government,Explosive device detonated. One person was killed in the attack. The attackers seriously injured 6 people.,205,42SVA3607148492,Explosion
Explosive Device,US Military Checkpoint,Military,People,Group,United States,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,206,41SPU0534002079,House Borne IED (HBIED) Found/Cleared
Explosive Device,US Soldiers,Military,People,Random Selection,United States,N,N,Other,Micro,1,No known physical damage,None,US Soldiers target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,5,0,5,0,Minor injuries,,US Military,Explosive device detonated. One person was killed in the attack. 5 people suffered minor injuries.,207,42SUD0602880512,Mine
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Drive by shooting,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,7,0,7,2,0,2,0,Major and minor injuries,,Afghanistan Government,Drive by shooting occured. 7 people were killed in the attack. 2 people suffered minor injuries.,208,42SVC0928784398,Drive by Shooting
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Civilian carjacked,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,1,Major injury,Hostages taken;,Afghanistan Government,A carjacking occured. One person was killed in the attack. One individual suffered minor injuries.,209,42SVB3271484344,Carjacking
Multimode Attack,US Military convoy,Military,People,Group,United States,N,N,Attack,Micro,1,No known physical damage,None,US Military convoy fired on byTaliban,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,2,0,2,0,Minor injuries,,US Military,US Military convoy came under attack. 2 people suffered minor injuries.,210,42STD7481182341,IDF/Small Arms Fire (SAF)
Ambush,Civilian,<Null>,<Null>,<Null>,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Civilian murdered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Major injury,,Afghanistan Government,Civilian murdered by suspected member of Al-Qaeda. One person was killed in the attack. One individual suffered minor injuries.,211,41SNV7843574783,Murder
Explosive Device,Court Building,Government,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Damage to a building,Blast caused partial structural damage to Court Building,Court Building target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,8,0,8,0,0,0,0,None,,Afghanistan Government,Explosive device detonated. 8 people were killed in the attack.,212,41SNT9955839669,Explosion (Reported)
Explosive Device,Afghan Soldiers,Military,People,Random Selection,Afghanistan,N,Y,Investigation,Macro,1,No known physical damage,None,Afghan Soldiers target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,7,0,7,4,0,4,0,Minor injuries,,Afghanistan Government,Explosive device detonated. 7 people were killed in the attack. 4 people suffered minor injuries.,213,42STE5251060745,IED
Ambush,US Military convoy,Military,People,Group,United States,N,N,Attack,Micro,2,Damage to a vehicle,Vehicle engine damaged in attack,Combat between US Military convoy and members of Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,5,1,6,0,Minor injuries,Target wounded in counterattack;,US Military,US Military convoy engaged in combat. 6 people suffered minor injuries.,214,41SNU7710708401,Combat
Other,House,Residential,Building,Building,Afghanistan,N,Y,Other,Micro,1,Destruction of a building,Blast destroyed House,Vehicle born IED explodes near House,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,0,4,4,0,4,0,Major injuries,,Afghanistan Government,Vehicle born IED detonated.4 people were killed in the attack. The attackers seriously injured 4 people.,215,41SPS9224740757,Vehicle Born IED (VBIED)
Other,US Military convoy,Military,People,Group,United States,N,N,Attack,Micro,2,No known physical damage,None,Indirect fire attack,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,2,7,3,0,3,0,Minor injuries,Target killed in counterattack;,US Military,Indirect fire attack. 7 people were killed in the attack. 3 people suffered minor injuries.,216,42SUB9842470522,Indirect Fire (IDF)
Other,Afghan Police,Military,People,Group,Afghanistan,N,N,Attack,Micro,3,No known physical damage,None,Afghan Police attacked by snipers,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Snipers fired at Afghan Police. One person was killed in the attack. One individual suffered minor injuries.,217,41SPS2196278187,Sniper Ops
Standoff Weapon,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Other,Macro,1,No known physical damage,None,Mortar fired at Afghan Soldiers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,0,5,6,0,6,0,Major injuries,,Afghanistan Government,Mortar was fired at Afghan Soldiers. 5 people were killed in the attack. The attackers seriously injured 6 people.,218,42SUF0763312422,Mortar
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Drive by shooting,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,9,0,9,0,0,0,0,None,,Afghanistan Government,Drive by shooting occured. 9 people were killed in the attack.,219,42SWF0710310801,Drive by Shooting
Ambush,Civilian,<Null>,<Null>,<Null>,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Civilian murdered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Major injury,,Afghanistan Government,Civilian murdered by suspected member of Al-Qaeda. One person was killed in the attack. One individual suffered minor injuries.,220,41RNR5969432522,Murder
Ambush,Civilian,<Null>,<Null>,<Null>,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Civilian murdered,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Major injury,,Afghanistan Government,Civilian murdered by suspected member of Taliban. One person was killed in the attack. One individual suffered minor injuries.,221,41SNV7143048342,Murder
Explosive Device,Afghan Soldiers,Military,People,Random Selection,Afghanistan,N,N,Other,Micro,1,No known physical damage,None,Unexploded ordnance discovered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Unexploded ordnance located.,222,41RPQ6421928186,Unexploded Ordnance (UXO)
Other,Civilians,Civilian,People,Random Selection,Afghanistan,N,N,Investigation,Micro,2,No known physical damage,None,Looting of civilian homes,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Civilian homes in the area were looted.,223,42SWE4947063144,Looting
Standoff Weapon,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Attack,Micro,2,Destruction of a vehicle,Blast destroyed vehicle beyond repair,Rocket fired at Afghan Security Post,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,3,0,3,0,Major injuries,,Afghanistan Government,A rocket was fired at Afghan Security Post. The attackers seriously injured 3 people.,224,42SUE9459548565,Rocket
Explosive Device,Afghan Security Post,Military,People,Random Selection,Afghanistan,N,N,Other,Micro,1,No known physical damage,None,Unexploded ordnance discovered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Unexploded ordnance located.,225,41SPU4884552869,Unexploded Ordnance (UXO)
Other,Afghan Police,Military,People,<Null>,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,,226,41SMR6358469086,Accident
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Afghan government official kidnapped by Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,1,0,1,1,Major injury,Hostages taken;,Afghanistan Government,Afghan government official was kidnapped by members of Taliban. One individual suffered minor injuries.,227,42SWE7359044186,Kidnapping
Explosive Device,Afghan Police,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Afghan Police target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,1,0,1,0,Major injury,,Afghanistan Government,Explosive device detonated. One individual suffered minor injuries.,228,42SWE3888219615,IED
